iso2,edu_group,life_satisfaction,above_basic_digital_skills,basic_digital_skills
PL,ISCED 5–8,2.2739999999999996,19.757575757575758,47.139210526315786
PT,All levels,1.983,30.406363636363636,58.751315789473686
PT,ISCED 0–2,1.867,30.406363636363636,58.751315789473686
PT,ISCED 3–4,2.052,30.406363636363636,58.751315789473686
PT,ISCED 5–8,2.153,30.406363636363636,58.751315789473686
RO,All levels,2.225225225225225,9.087878787878788,32.041315789473686
RO,ISCED 0–2,2.0669999999999997,9.087878787878788,32.041315789473686
RO,ISCED 3–4,2.2332332332332334,9.087878787878788,32.041315789473686
RO,ISCED 5–8,2.4909999999999997,9.087878787878788,32.041315789473686
SE,All levels,2.1311311311311307,34.85545454545455,67.86315789473684
SE,ISCED 0–2,2.114,34.85545454545455,67.86315789473684
SE,ISCED 3–4,2.118,34.85545454545455,67.86315789473684
SE,ISCED 5–8,2.161,34.85545454545455,67.86315789473684
SI,All levels,2.198,18.855151515151515,50.15421052631579
SI,ISCED 0–2,2.0,18.855151515151515,50.15421052631579
SI,ISCED 3–4,2.16,18.855151515151515,50.15421052631579
SI,ISCED 5–8,2.342,18.855151515151515,50.15421052631579
SK,All levels,2.0629999999999997,21.406969696969696,53.485789473684214
SK,ISCED 0–2,1.834,21.406969696969696,53.485789473684214
SK,ISCED 3–4,2.019019019019019,21.406969696969696,53.485789473684214
SK,ISCED 5–8,2.3209999999999997,21.406969696969696,53.485789473684214
